Advertiser_ID,Advertiser_Name,Public_IDs_List,Regions,Elections,Total_Creatives,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_NZD,Spend_ILS,Spend_AUD,Spend_TWD,Spend_BRL,Spend_ARS,Spend_ZAR,Spend_CLP,Spend_MXN
AR06192484672006520833,FIVE KAO,,"AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK",,394,0,13050,0,200,1500,500,20000,250,61750,1000,0,0,0,0,0,0,0,0,0,0
AR08544538522848067585,Stand With Dan,EIN ID 88-1294721,US,,5,6700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR00290957577305456641,VAL ARKOOSH FOR U.S. SENATE,EIN ID 86-3036315,US,,18,10700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR15582085687111843841,AMY MCGRATH FOR CONGRESS,FEC ID C00646745,US,,43,104400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR04211341052931473409,TIM ALEXANDER FOR CONGRESS,FEC ID C00767350,US,,4,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR01624023067007123457,Committee to Protect California Kids sponsored by Nonprofit Health Organizations,Registered in US-CA 1436431,US,,119,790500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR05818281694972608513,COMMITTEE TO RE ELECT GREG FISCHER,EIN ID 82-1400125,US,,4,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR09703871777972682753,Ken Fleming,Registered in US-KY ,US,,63,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR06383564846427799553,VIN KRUTTIVENTI FOR CONGRESS,EIN ID 92-3959342,US,,5,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR02477497733749932033,ELEICAO 2022 FABIO NAKASHIMA DEPUTADO FEDERAL,,BR,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,0,0,0
AR17279626087281721345,VIACOM INTERNATIONAL INC.,EIN ID 20-3696882,US,,356,335000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR10883965101119897601,Elisha Reddy,,IN,,2,0,0,2750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR11367815054167638017,Gleisi Helena Hoffmann,,BR,,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40500,0,0,0,0
AR08465651312334209025,"Global Evangelism, Inc. Cornerstone Church",EIN ID 74-1764843,US,,11,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR10561919279215673345,KURLAND 23,EIN ID 82-2849947,US,,25,7200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR03892675061051555841,Aaron Violi,,AU,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0
AR05628929454613987329,LAURA WILLIAMS FOR KANSAS,EIN ID 99-4863266,US,,4,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR12186998392781537281,JONATHON HILL FOR ARIZONA,EIN ID 87-3039774,US,,1,14800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR18298600687346384897,HEARTLAND INSTITUTE,EIN ID 36-3309812,US,,38,55900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR03189376537153503233,ELEICAO 2022 SERGIO FERNANDO MORO SENADOR,,BR,,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127500,0,0,0,0
AR14596489064610791425,TOM MATTHEW FOR STATE REP,Registered in US-MI 521269,US,,2,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR05709082220191285249,Don Bacon for Congress,FEC ID H6NE02125,US,,1,3900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR03149391628578324481,Slesvigsk Parti,,"AT, BE, DE, DK, ES, FI, FR, IE, IT, LU, NL, SE",,257,0,4900,0,0,0,34500,0,0,0,1000,0,0,0,0,0,0,0,0,0,0
AR17392514732811878401,ΑΒΡΑΝΤΙΝΗΣ ΑΝΑΣΤΑΣΙΟΣ (ΤΑΣΟΣ),,"AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK",,107,0,5000,0,0,0,0,0,250,0,1000,50,0,0,0,0,0,0,0,0,0
AR15152998525593190401,PAT RYAN FOR CONGRESS,EIN ID 88-2311708,US,,33,56300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR05727358336827916289,AMALIA SCUDELER DE BARROS SANTOS,,BR,,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,0,0,0,0
AR05404917979227881473,Friends of Candace Avalos,Registered in US-OR 20028,US,,2,10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR06526556574138236929,MCCOLLUM FOR CONGRESS,FEC ID C00354688,US,,7,14300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR15140856000212369409,Opportunity for All San Diego ballot measure committee by Sean Elo-Rivera supporting repeal of the People's ordinance and removal of the Midway height limit,Registered in US-CA 1445295,US,,4,14600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
